,会社名,仕事内容,対象となる方,勤務地,給与,初年度年収
336,上海中和軟件有限公司 | (上海中和株式会社)◆大手直取引◆日中合弁企業として1991年設立,大手企業のシステム開発パートナーとして業務・技術系システムの開発プロジェクトをお任せ◆顧客はNRI・野村ホールディングス・トヨタシステムズetc.,【設計・開発の実務経験をお持ちの方】◎学歴・年齢不問◎設計や開発業務経験がある方は優遇します◎完全週休2日制◎土日祝休み◎正社員登用あり,★転勤なし ★U・Iターン歓迎 ★テレワーク実施中 ◆全国(東京23区、神奈川県横浜市、愛知県名古…,年俸：540万円〜1200万円 ※年俸額の1/12を毎月支給（月額45万円〜100万円） ※経験・スキル・年齢を考慮…,540万円～1200万円
337,アキバネクサス株式会社 | ◆履歴書不要 ◆面接1回 ◆即時勤務OK ◆コロナ禍でも安定経営,【書類選考ナシ！面接1回＊簡易プロフィールのみの簡単応募♪】日用品・オフィス用品・食品などの配送をお任せします。※スピード入社可能♪,【第二新卒特別特集参画中】学歴・職歴・年齢いっさい不問！未経験歓迎 ★フリーター、ブランクのある方もぜひ！★電話での問合せ歓迎→03-5823-4153,◆転勤なし ◆直行直帰OK ＊1都3県積極採用中 ◆東京都・千葉県・埼玉県 自宅近くの配送エリア…,完全歩合給制（1件140円〜500円） ★月収50〜60万円は充分可能 ★週払いOK！ ★1日1万5000円〜2万円保証…,500万円～1000万円
338,株式会社福岡地行 | 新築分譲/新築注文住宅を軸に総合的な不動産事業を展開する企業,【反響対応メイン！】 ◆自社ブランドマンション/自社戸建ての販売営業をお任せ ◎充実した研修で安心スタート！,【業界・職種経験者優遇・第二新卒歓迎！】 ★人物重視の採用 ◆普通自動車免許 ◆基本的なPCスキル ◎週休2日/やりがいもあり楽しい/福利厚生充実！,《転勤なし》 福岡県福岡市中央区渡辺通4-1-36 BiVi福岡4F 【アクセス】 西鉄天神大牟田…,月給25万円 〜 ＋ 諸手当 ※年齢、経験、能力を考慮の上、決定致します。 ※待遇条件の詳細については、…,450万円～800万円
339,株式会社沖縄ユーポス | 【 ユーポスグループ 】20代の若手社員が続々と入社しています,★ 完全反響型営業 ★ 中古車の査定や来店されたお客様への応対などをお任せします。★複数名採用予定なので、同期と一緒に頑張れます★,＼ 未経験からでも稼げます ／ ◎車好き、釣り好き、嫁好きなスタッフが活躍中！ ★20代で月収50万円越えの社員も！,＼ 県外への転勤なし ／ 那覇市、沖縄市の店舗へ配属となります。 ※勤務地は居住地を考慮した上で決…,月給20万円〜30万円 ＋ 諸手当 ＋ インセンティブ ※経験・スキルを考慮して給与を決定します。 　詳し…,
340,日本建物株式会社 | 全従業員が入社1年で目標600万越え！残業一切無し！,《働きやすい環境に自信有り！》 売る仕事ではありません！弊社が買い取る側の仕事です。　想像以上に世の中には買取案件があります。,経験、学歴は一切不問。明るく元気に前向きに、仕事に取り組める方★４０歳までの方★東京支店は全員異業種から来ています。,★東京駅すぐ★銀座・浅草・京浜東北・常磐・京葉・中央・横須賀・総武・宇都宮線等各路線一本で来れます…,月給25万円〜＋交通費＋資格手当＋インセンティブ＋報奨金あり ※役職によって固定給は上がっていきます…,
341,株式会社海山組 | 【ベテランのスキル、歓迎します。】※※年齢不問募集※※,◎土木工事に関わる、施工管理業務全般をお任せ。★無理なく働ける好環境♪50代もイキイキ活躍中！ ★年齢問わずスキルを活かせます！,【経験者募集／月給35万円～スタート】▼年数問わず、土木施工管理の経験をお持ちの方。※学歴不問 ※要普通免許 ★生涯現役で、働きませんか？,★UIターン歓迎 ★マイカー通勤OK ★転勤なし 福岡県福岡市東区塩浜1-10-50,月給35万円〜 55万円 + 諸手当 ※今回の転職が不利にならないよう、あなたの年齢、経験、能力を考慮のう…,480万円～650万円
342,株式会社ミナカミ | 創業昭和32年／資格手当も最大5万円と充実／年間休日125日,東京都内を中心に、消防用設備、弱電設備、セキュリティ工事の施工管理をお任せします。,【未経験歓迎！】■要自動車運転免許■社会人経験のある方◎フットワーク良く行動できる方歓迎します！★完全週休2日制(土日祝休み)★地域防災に貢献,本社 東京都八王子市東浅川町28-30 ※マイカー・自転車・バイク通勤可 ※U・Iターン歓迎,月給 18万円〜22万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間6ヵ月（その間の給…,
343,有限会社コウチョウ運輸 | ◎大手と取引で安定した経営基盤◎決算賞与あり◎年間休日105日,【木材や加工品の配送】10t車で近・中距離への配送をおこないます（日帰りのみ）★横乗り研修あり★しっかり休めて、稼げます★賞与前年度実績38万円,【 学歴/年齢/経験など一切不問★意欲重視の採用 】◎中型免許以上をお持ちの方◎運転するのが好きな方歓迎 ◎30，40代が中心に活躍中,マイカー通勤OK／転勤なし／U・Iターン歓迎 大分県日田市大字高瀬２２９６−７,"月給200,000円〜270,000円 + 諸手当 【モデル月収例】 月収50万円／40代／（入社8年目） 月収30万円／30…",
344,株式会社フリーテンポ | 《 人気急上昇中！メンズ脱毛サロンRINX 》39種類の福利厚生あり,【 先輩は100％未経験スタート！充実の教育体制 】◆メンズ脱毛サロン「RINX」の各店舗にて、お客様への施術とカウンセリングをお任せします。,＼男性の脱毛施術のため男性が活躍中／ ■未経験・第二新卒歓迎 ■学歴不問 ■成長したい、稼ぎたい！そんな意欲溢れる方を大歓迎！,★名古屋・豊田・岐阜・多治見にあるメンズ脱毛専門店 ★駅チカで通勤に便利 ★勤務地は希望考慮！転居…,月給23万2400円以上＋賞与 ※上記には、40時間分の固定残業代（5万2400円以上）を含みます。超過分は別…,350万円～450万円
345,株式会社エールホーム | 大阪府緊急雇用対策に賛同◇営業ノルマなし◇残業少なめ,《自由な営業スタイルで“あなたらしく”活躍を！》新築・中古戸建、土地など不動産の仲介・売買を中心にお任せします！営業ノルマもありません♪,《業界・業種未経験歓迎！》◆要普通免許（AT限定可）◆学歴不問　不動産仲介・売買の知識、経験をお持ちの方・宅建の資格をお持ちの方、優遇します★,《転勤なし&U・Iターン歓迎！》 大阪府八尾市安中町4-8-18,月給25万円 + インセンティブ+残業代 ★入社1年目から年収800万円以上を目指せる！ 【宅建資格をお持ち…,500万円～1000万円
346,蒼翠税理士法人 | ◆幅広い業務でキャリアアップ！◆裁量大きく活躍！,《意欲次第で成長できる＆力を試せる環境に自信有り！》 ◆経験・スキルに応じた税務・会計業務をお任せします ◎万全の体制でキャリアをサポート！,《学歴不問！幅広い年齢層が活躍中！》 ◆税務、会計事務所にて実務経験をお持ちの方、または税理士・会計士の専門学校卒の方 ◎社交的な方大歓迎！,【転勤なし！】 東京都新宿区揚場町1-3 グロリアビル2F,〈月給〉30万円〜70万円+賞与年1回＋各種手当 〈月給：日商簿記検定1級以上をお持ちの方、または税理士の…,420万円～850万円
347,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,希望や適性に応じて、資格取得アドバイザーまたはルート営業をお任せ ◇充実の研修で未経験からスタート可能 ◇インセンティブで高収入も目指せる,【必須の応募資格なし！たくさんの可能性に期待しています】◎人と接するのが好きな方 ◎地道に人間関係を築いていける方 ◎男女不問！◎20代活躍中！,＼転勤なし！／ 熊本・宮崎・鹿児島・北九州・佐賀の中から、好きな街で働けます！ 【熊本】 ◎熊本校…,"月給27万7,000円〜（一律営業手当含む）＋インセンティブ＋各種手当（車両持込手当など） ※固定残業代…",350万円～550万円
